<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.03.03	12:00:00	2867.37	2877.67	2867.21	2872.61	28900	0	8
2025.03.03	16:00:00	2872.61	2893.09	2871.30	2890.88	51983	0	8
2025.03.03	20:00:00	2890.87	2895.22	2878.31	2893.23	33625	0	8
2025.03.04	00:00:00	2892.93	2893.72	2881.94	2888.25	15261	0	8
2025.03.04	04:00:00	2888.24	2894.37	2884.73	2889.63	22326	0	8
2025.03.04	08:00:00	2889.61	2921.29	2884.38	2918.09	34372	0	8
2025.03.04	12:00:00	2918.09	2927.80	2912.00	2922.49	38565	0	8
2025.03.04	16:00:00	2922.52	2923.04	2900.33	2911.56	64849	0	8
2025.03.04	20:00:00	2911.55	2920.69	2908.22	2917.11	30584	0	8
2025.03.05	00:00:00	2917.82	2917.84	2903.43	2907.12	17372	0	8
2025.03.05	04:00:00	2907.12	2918.76	2901.99	2918.68	28525	0	8
2025.03.05	08:00:00	2918.62	2922.55	2912.98	2918.87	38804	0	8
2025.03.05	12:00:00	2918.87	2919.20	2894.31	2899.99	46188	0	8
2025.03.05	16:00:00	2899.97	2929.91	2897.65	2915.96	73436	0	8
2025.03.05	20:00:00	2915.96	2923.01	2911.37	2919.42	30116	0	8
2025.03.06	00:00:00	2918.31	2925.64	2915.85	2924.62	12674	0	8
2025.03.06	04:00:00	2924.62	2926.53	2914.48	2919.72	19763	0	8
2025.03.06	08:00:00	2919.72	2923.01	2891.20	2894.26	45499	0	8
2025.03.06	12:00:00	2894.22	2909.45	2891.90	2904.45	49388	0	8
2025.03.06	16:00:00	2904.43	2922.69	2903.36	2915.52	59288	0	8
2025.03.06	20:00:00	2915.52	2920.63	2908.36	2911.62	27183	0	8
2025.03.07	00:00:00	2912.68	2913.54	2896.58	2906.89	23326	0	8
2025.03.07	04:00:00	2906.83	2912.50	2901.25	2909.49	35225	0	8
2025.03.07	08:00:00	2909.46	2923.04	2907.69	2921.51	29176	0	8
2025.03.07	12:00:00	2921.51	2926.35	2910.24	2913.75	46960	0	8
2025.03.07	16:00:00	2913.68	2930.27	2903.89	2908.23	69995	0	8
2025.03.07	20:00:00	2908.20	2912.37	2902.02	2912.22	27549	0	8
2025.03.10	00:00:00	2912.13	2918.23	2909.63	2912.10	25658	0	8
2025.03.10	04:00:00	2912.09	2914.47	2906.86	2909.85	25898	0	8
2025.03.10	08:00:00	2909.84	2915.47	2896.69	2911.23	40702	0	8
2025.03.10	12:00:00	2911.23	2911.33	2895.56	2903.67	52039	0	8
2025.03.10	16:00:00	2903.65	2910.39	2882.75	2886.16	58480	0	8
2025.03.10	20:00:00	2886.17	2890.92	2880.18	2887.92	25265	0	8
2025.03.11	00:00:00	2889.50	2889.79	2882.41	2887.33	11341	0	8
2025.03.11	04:00:00	2887.49	2900.41	2880.12	2897.68	31547	0	8
2025.03.11	08:00:00	2897.66	2910.44	2892.69	2909.98	33127	0	8
2025.03.11	12:00:00	2909.98	2916.06	2908.82	2913.12	32387	0	8
2025.03.11	16:00:00	2913.06	2922.21	2906.87	2917.17	55155	0	8
2025.03.11	20:00:00	2917.17	2921.30	2914.07	2915.42	24689	0	8
2025.03.12	00:00:00	2915.17	2919.62	2912.08	2914.23	8201	0	8
2025.03.12	04:00:00	2914.21	2919.94	2910.73	2914.87	23986	0	8
2025.03.12	08:00:00	2914.94	2922.17	2908.94	2922.14	34628	0	8
2025.03.12	12:00:00	2922.16	2925.33	2912.12	2917.59	37683	0	8
2025.03.12	16:00:00	2917.59	2939.23	2906.10	2936.52	63782	0	8
2025.03.12	20:00:00	2936.36	2940.53	2930.76	2933.43	27016	0	8
2025.03.13	00:00:00	2934.92	2939.30	2933.84	2938.57	7321	0	8
2025.03.13	04:00:00	2938.58	2947.06	2936.49	2944.63	24237	0	8
2025.03.13	08:00:00	2944.64	2945.06	2932.89	2941.52	30873	0	8
2025.03.13	12:00:00	2941.47	2949.15	2941.00	2942.43	37276	0	8
2025.03.13	16:00:00	2942.43	2985.27	2939.00	2980.08	75269	0	8
2025.03.13	20:00:00	2980.06	2988.56	2976.34	2988.15	26286	0	8
2025.03.14	00:00:00	2984.23	2989.87	2983.22	2986.62	8530	0	8
2025.03.14	04:00:00	2986.61	2993.94	2981.68	2985.40	26980	0	8
2025.03.14	08:00:00	2985.40	2993.32	2980.84	2992.90	29588	0	8
2025.03.14	12:00:00	2992.92	3004.84	2986.52	2993.77	44058	0	8
2025.03.14	16:00:00	2993.80	2996.09	2978.40	2989.67	61010	0	8
2025.03.14	20:00:00	2989.67	2990.37	2981.71	2988.08	21347	0	8
2025.03.17	00:00:00	2987.54	2993.99	2986.06	2990.84	9270	0	8
2025.03.17	04:00:00	2990.84	2993.04	2982.38	2982.55	20570	0	8
2025.03.17	08:00:00	2982.55	2990.64	2982.20	2988.34	21570	0	8
2025.03.17	12:00:00	2988.36	3001.16	2984.76	2987.07	31369	0	8
2025.03.17	16:00:00	2987.07	3000.52	2985.99	2994.42	41348	0	8
2025.03.17	20:00:00	2994.51	3001.92	2994.47	3001.01	18029	0	8
2025.03.18	00:00:00	3000.90	3003.45	2999.47	3001.46	5800	0	8
2025.03.18	04:00:00	3001.45	3017.05	2999.35	3014.33	25390	0	8
2025.03.18	08:00:00	3014.32	3027.23	3006.08	3026.44	31233	0	8
2025.03.18	12:00:00	3026.55	3035.74	3018.10	3034.23	37128	0	8
2025.03.18	16:00:00	3034.22	3038.20	3024.64	3035.88	55787	0	8
2025.03.18	20:00:00	3035.88	3037.98	3029.74	3034.60	22148	0	8
2025.03.19	00:00:00	3033.76	3035.03	3030.47	3031.49	6300	0	8
2025.03.19	04:00:00	3031.41	3038.90	3027.35	3036.34	20814	0	8
2025.03.19	08:00:00	3036.46	3045.25	3024.66	3025.13	35773	0	8
2025.03.19	12:00:00	3025.09	3041.04	3022.86	3037.09	26933	0	8
2025.03.19	16:00:00	3037.09	3038.34	3025.86	3033.02	44127	0	8
2025.03.19	20:00:00	3033.02	3051.90	3028.83	3047.09	36365	0	8
2025.03.20	00:00:00	3048.84	3055.42	3047.15	3053.15	9256	0	8
2025.03.20	04:00:00	3053.15	3057.37	3044.96	3052.36	35201	0	8
2025.03.20	08:00:00	3052.41	3053.57	3038.65	3041.91	38859	0	8
2025.03.20	12:00:00	3041.87	3046.25	3025.63	3040.77	51954	0	8
2025.03.20	16:00:00	3040.76	3043.18	3029.92	3038.17	54569	0	8
2025.03.20	20:00:00	3038.17	3046.10	3034.67	3044.66	21826	0	8
2025.03.21	00:00:00	3044.66	3047.39	3042.28	3042.73	6003	0	8
2025.03.21	04:00:00	3042.76	3044.51	3027.95	3029.75	29223	0	8
2025.03.21	08:00:00	3029.81	3034.83	3021.66	3032.83	30709	0	8
2025.03.21	12:00:00	3032.89	3038.08	3027.72	3034.13	30325	0	8
2025.03.21	16:00:00	3034.13	3036.77	2999.51	3015.12	57074	0	8
2025.03.21	20:00:00	3015.11	3024.04	3012.79	3022.82	19904	0	8
